Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,CB Rank (Funding Round),component--field-formatter href 3,,link-accent 5,link-accent 7
Seed Round - ZYPRUS Resortwear,https://www.crunchbase.com/organization/zyprus-resortwear,ZYPRUS Resortwear,Seed,�,12-Jul-21,Seed,�,Yes,ZYPRUS Resortwear is a contemporary resort wear brand featuring timeless and versatile designs.,Fashion,�,�,Seed,1,,�,"120,072",https://zyprusresortwear.com/,,Dubai,United Arab Emirates
Pre Seed Round - Swappaholics,https://www.crunchbase.com/organization/swappaholics,Swappaholics,Pre-Seed,"$30,000 ",1-Feb-15,Seed,�,Yes,"Swappaholics offers a swapping site that enables its users to list, share, and swap various items in Africa.",E-Commerce,Less than $1M,"$30,000 ",Seed,2,TURN8,1,"121,375",http://www.swappaholics.com/,,Dubai,United Arab Emirates
Seed Round - Holler,https://www.crunchbase.com/organization/holler-1867,Holler,Seed,"$5,000 ",4-Feb-18,Seed,"$330,000 ",Yes,Make a living out of something you love,Business Intelligence,�,"$5,000 ",M&A,1,Nihal Mohammad Shaikh,1,"121,792",https://holler.me/,,Dubai,United Arab Emirates
Seed Round - Marefa Digital,https://www.crunchbase.com/organization/marefa-digital,Marefa Digital,Seed,"$212,000 ",10-Dec-19,Seed,"$7,000,000 ",Yes,"Marefa Digita, an EdTech company that provides Arab professionals with eLearning tools and content to create, publish and learn in Arabic.",E-Learning,�,"$1,641,000 ",Seed,4,,�,"122,256",https://marefadigital.com/,,Dubai,United Arab Emirates
Seed Round - Ustad Mobile,https://www.crunchbase.com/organization/ustad-mobile,Ustad Mobile,Seed,"$30,000 ",1-Feb-14,Seed,"$150,000 ",Yes,We can make it easy for your organization to realize the potential of mobile technology in education; even in challenging environments.,Information Services,�,"$30,000 ",Seed,1,TURN8,1,"123,381",https://www.ustadmobile.com/,,Dubai,United Arab Emirates
Grant - Solva Technologies,https://www.crunchbase.com/organization/solva-technologies,Solva Technologies,Grant,"$13,615 ",1-Feb-18,�,�,No,A tech start-up offering an environmentally-friendly solution .,Automotive,�,"$63,615 ",�,2,,�,"125,109",http://solvatechnologies.com/,,Abu Dhabi,United Arab Emirates
Pre Seed Round - AHAD,https://www.crunchbase.com/organization/ahad-information-technology-llc,AHAD,Pre-Seed,"$200,000 ",21-Oct-20,Seed,�,Yes,"SaaS, B2B Marketplace, Cybersecurity, Software",Cyber Security,�,"$200,000 ",Seed,1,,�,"207,353",https://ahad-me.com/marketplace,,Dubai,United Arab Emirates
Seed Round - Nakheel,https://www.crunchbase.com/organization/nakheel-a4fd,Nakheel,Seed,�,10-May-18,Seed,�,Yes,IoT for Agriculture,Agriculture,�,"$190,000 ",Seed,3,Brinc,1,"207,809",http://www.nakheel.io/,,Dubai,United Arab Emirates
Grant - QIDZ LLC,https://www.crunchbase.com/organization/qidz-llc,QIDZ LLC,Grant,"$10,000 ",1-Nov-18,�,�,No,"QiDZ is a mobile platform that allows parents to find, plan, and book kid-friendly activities.",Apps,$1M to $10M,"$1,878,615 ",Seed,7,Sheraa Sharjah,1,"126,223",http://www.qidz.com/,,Dubai,United Arab Emirates
Pre Seed Round - Reem Takaful,https://www.crunchbase.com/organization/reem-takaful,Reem Takaful,Pre-Seed,�,26-Nov-20,Seed,�,Yes,Reem Takaful enables ethical and inclusive risk coverage for farmers who are exposed to the perils of crop due to climate change.,Agriculture,�,�,Seed,1,DIFC FinTech Hive,1,"127,630",https://www.reemtakaful.com/,,Dubai,United Arab Emirates
Pre Seed Round - Prognica Labs,https://www.crunchbase.com/organization/prognica-labs,Prognica Labs,Pre-Seed,"$100,000 ",16-Jul-19,Seed,�,Yes,Prognica is building smart screening solution for early detection of breast cancer using artificial intelligence and machine learning.,Artificial Intelligence,�,"$100,000 ",Seed,1,,�,"128,192",http://www.prognica.com/,,Dubai,United Arab Emirates
Grant - Storically,https://www.crunchbase.com/organization/storically,Storically,Grant,"$13,615 ",1-Sep-19,�,�,No,Storically is an online platform and publishing house for creating personalized books and children's books.,EBooks,Less than $1M,"$13,615 ",�,1,,�,"130,465",https://storically.com/,,Dubai,United Arab Emirates
Non Equity Assistance - Ibtikaroom,https://www.crunchbase.com/organization/ibtikaroom,Ibtikaroom,Non-equity Assistance,�,1-Sep-20,�,�,No,Platform aggregator of instant 3D Digital Twins and Big Data analysis with an interface for all participants in Real Estate market,Big Data,�,"$463,000 ",Seed,3,Newchip,1,"131,060",https://angel.co/company/ibtikaroom,,Dubai,United Arab Emirates
Seed Round - Cryptizor,https://www.crunchbase.com/organization/cryptizor,Cryptizor,Seed,�,1-Apr-18,Seed,�,Yes,Technical Analysis Software and Signals Platform for Cryptos,Analytics,�,�,Seed,1,,�,"133,919",https://www.cryptizor.com/,,Dubai,United Arab Emirates
Seed Round - Med Reach FZCO,https://www.crunchbase.com/organization/med-reach-fzco,Med Reach FZCO,Seed,"$1,000,000 ",1-Jan-19,Seed,"$10,000,000 ",Yes,An innovative company offering high-end technology to medical community & health industry to enhance their relationship,Health Care,�,"$2,000,000 ",Seed,2,,�,"298,198",https://www.medreach.com/,,Dubai,United Arab Emirates
Seed Round - Buglance,https://www.crunchbase.com/organization/buglance,Buglance,Seed,"$120,000 ",6-Feb-19,Seed,�,Yes,Buglance is a crowdtesting platform.,Mobile Apps,�,"$755,000 ",Seed,4,Techstars Dubai,1,"133,988",https://buglance.com/,,Dubai,United Arab Emirates
Pre Seed Round - Distichain,https://www.crunchbase.com/organization/distichain,Distichain,Pre-Seed,"$375,000 ",1-Jul-19,Seed,"$1,000,000 ",Yes,"SaaS B2B marketplaces, integrated ecosystem of service providers, blockchain-based verification, supply-chain, trade finance.",Artificial Intelligence,�,"$940,000 ",Seed,3,,�,"134,691",http://www.distichain.com/,,Dubai,United Arab Emirates
Seed Round - Mr. Draper,https://www.crunchbase.com/organization/mr-draper,Mr. Draper,Seed,"$13,615 ",1-May-19,Seed,�,Yes,Mr. Draper offers curated shopping services for men.,E-Commerce,$1M to $10M,"$818,615 ",Seed,5,,�,"135,660",http://www.mrdraper.com/,,Dubai,United Arab Emirates
Venture Round - Loyyal,https://www.crunchbase.com/organization/loyyal,Loyyal,Venture - Series Unknown,�,1-Aug-19,�,�,Yes,Loyyal is a loyalty and rewards platform that brings interoperability to the currently fragmented industry.,Blockchain,$1M to $10M,"$5,000,000 ",�,5,Hayaat Group,4,"136,818",http://www.loyyal.com/,,Dubai,United Arab Emirates
Initial Coin Offering - Verify,https://www.crunchbase.com/organization/verify,Verify,Initial Coin Offering,"$2,500,000 ",21-Dec-17,�,�,Yes,Verify Payments is the first "killer app" built on the Verify Reputation protocol.,Blockchain,$10M to $50M,"$2,500,000 ",�,2,,�,"137,458",https://verify.as/,,Dubai,United Arab Emirates
Pre Seed Round - 3DInova,https://www.crunchbase.com/organization/3dinova,3DInova,Pre-Seed,�,1-Feb-18,Seed,�,Yes,"Online 3D printing company aiming to bridge the gap between books and technology, by incorporating CAD and 3D printing into the classroom",3D Printing,�,�,Seed,2,,�,"137,845",https://3dinova.com/,,Dubai,United Arab Emirates
Angel Round - Lookup.ae,https://www.crunchbase.com/organization/loookup-ae,Lookup.ae,Angel,�,18-Mar-15,Seed,�,Yes,"Lookup.ae helps connect its users to Dubai Real Estate news, data, analysis, trends & opportunities.",Market Research,$1M to $10M,�,Seed,1,,�,"299,088",https://lookup.ae/,,Dubai,United Arab Emirates
Seed Round - The Concept,https://www.crunchbase.com/organization/the-concept,The Concept,Seed,"$10,000 ",1-May-19,Seed,�,Yes,The Concept is a product development. Our aim is to address and help industries become more sustainable with our solutions and methodology.,Consulting,�,"$23,613 ",Seed,2,,�,"138,423",https://www.the-concept.co/,,Abu Dhabi,United Arab Emirates
Seed Round - dashroad,https://www.crunchbase.com/organization/dashroad,dashroad,Seed,"$15,000 ",1-Sep-15,Seed,�,Yes,dashroad is working on V2V telematics,Automotive,Less than $1M,"$15,000 ",Seed,1,Flat6Labs,1,"139,893",https://www.dashroad.com/,,Dubai,United Arab Emirates
Pre Seed Round - Nischint,https://www.crunchbase.com/organization/nischint,Nischint,Pre-Seed,�,1-Feb-18,Seed,�,Yes,Nischint is an app that enables parents to remotely manage their kid's internet & app access which is digitally Secured.,Apps,Less than $1M,�,Seed,2,,�,"139,970",http://www.nischint.in/,,Dubai,United Arab Emirates
Seed Round - Referbility,https://www.crunchbase.com/organization/referbility,Referbility,Seed,"$13,000 ",1-Oct-19,Seed,�,Yes,Referbility.com is an online recruitment platform offering that utilizes referrals to help companies attract the right talent.,Human Resources,Less than $1M,"$13,000 ",Seed,1,,�,"141,688",https://referbility.com/,,Dubai,United Arab Emirates
Seed Round - RentSher Middle East,https://www.crunchbase.com/organization/rentsher-middle-east,RentSher Middle East,Seed,"$750,000 ",1-Jun-19,Seed,�,Yes,Dubai-based online platform for rentals of products and services .,E-Commerce,�,"$1,350,000 ",Seed,4,Shorooq Partners,1,"142,014",https://www.rentsher.ae/,,Dubai,United Arab Emirates
Seed Round - Ziina,https://www.crunchbase.com/organization/ziina,Ziina,Seed,�,19-Jan-21,Seed,�,Yes,Ziina is bringing the next generation of financial services to the Middle East. Ziina is the UAE�s first peer-to-peer payment app.,Financial Services,�,"$8,475,000 ",Seed,4,Class 5 Global,7,"142,266",https://www.ziina.com/,,Dubai,United Arab Emirates
Seed Round - OjaBox,https://www.crunchbase.com/organization/ojabox,OjaBox,Seed,"$200,000 ",19-Apr-21,Seed,�,Yes,A cloud collaboration platform for creative teams to manage all their digital assets and simply track work and deliver faster!,3D Technology,�,"$950,000 ",Seed,5,FasterCapital,1,"142,323",https://www.ojabox.com/,,Dubai,United Arab Emirates
Pre Seed Round - Epic Reality,https://www.crunchbase.com/organization/epic-reality,Epic Reality,Pre-Seed,�,20-Jul-20,Seed,�,Yes,A portfolio company of Modus Capital,,�,�,Seed,1,Modus Capital,1,"143,306",https://epicreality.app/,,Dubai,United Arab Emirates
Grant - Clipme,https://www.crunchbase.com/organization/clipme,Clipme,Grant,"$1,089 ",1-May-17,�,�,No,Clipme app lets candidates create 20 second video clips about themselves to pitch to employers.,Mobile Apps,�,"$1,089 ",�,1,,�,"144,956",,,Sharjah,United Arab Emirates
Seed Round - KeepEATreal,https://www.crunchbase.com/organization/keepeatreal,KeepEATreal,Seed,�,1-Oct-18,Seed,�,Yes,KeepEATreal is a nutrition and lifestyle consultancy.,Health Care,�,�,Seed,1,Savour Ventures,1,"145,010",https://www.keepeatreal.com/,,Dubai,United Arab Emirates
Seed Round - WakeCap Technologies,https://www.crunchbase.com/organization/wakecap-technologies,WakeCap Technologies,Seed,�,21-Jun-18,Seed,�,Yes,WakeCap is an IoT-based enterprise solution to improve safety & productivity in the construction site,Construction,�,"$2,460,000 ",�,8,Venture MENA,1,"146,120",http://www.wakecap.com/,,Dubai,United Arab Emirates
Pre Seed Round - Cashee,https://www.crunchbase.com/organization/cashee-tech,Cashee,Pre-Seed,"$1,000,000 ",28-Jun-21,Seed,�,Yes,Cashee provides a prepaid card and digital platform to kids and teens.,Financial Services,�,"$1,000,000 ",Seed,1,,�,"146,669",https://www.getcashee.com/,,Dubai,United Arab Emirates
Pre Seed Round - Merke,https://www.crunchbase.com/organization/merke,Merke,Pre-Seed,"$2,000 ",2-Jun-15,Seed,"$50,000 ",Yes,Marketing Channel for businesses,,�,"$2,000 ",M&A,1,Nihal Mohammad Shaikh,1,"149,731",https://merke.me/,,Sharjah,United Arab Emirates
Pre Seed Round - DepositBook,https://www.crunchbase.com/organization/newbridge-fintech-solutions,DepositBook,Pre-Seed,"$500,000 ",15-Mar-17,Seed,�,Yes,DepositBook is an online platform and an open banking network which connects Banks and Depositors globally.,Banking,�,"$500,000 ",Seed,2,,�,"301,159",https://deposit-book.com/,,Dubai,United Arab Emirates
Seed Round - Topshou,https://www.crunchbase.com/organization/topshou,Topshou,Seed,�,1-Apr-16,Seed,�,Yes,Topshou is a community-driven fashion discovery platform.,Communities,Less than $1M,�,Seed,1,Speed Accelerator,1,"381,290",https://www.topshou.com/,,Dubai,United Arab Emirates
Funding Round - Paper Hunter,https://www.crunchbase.com/organization/paper-hunter,Paper Hunter,Funding Round,"$2,000 ",2-May-14,�,�,Yes,Paper Hunter is a Business-to-Business e-marketing platform for Middle East and Sub-Sahara Africa enabling business development,B2B,$1M to $10M,"$2,000 ",�,1,,�,"150,114",http://www.paper-hunter.com/,,Dubai,United Arab Emirates
Venture Round - Junkbot Inc,https://www.crunchbase.com/organization/junkbot-inc,Junkbot Inc,Venture - Series Unknown,�,1-Jan-15,�,�,Yes,Junkbot is a Do It Yourself Robotic kit which help children make real life working robots from unwanted junk.,DIY,Less than $1M,"$30,000 ",�,2,Hardware.co,1,"151,919",http://www.junkbot.co/,,Dubai,United Arab Emirates
Seed Round - Up Your Game,https://www.crunchbase.com/organization/up-your-game,Up Your Game,Seed,"$150,000 ",1-Oct-17,Seed,�,Yes,"Realtime employee performance assessment solution, Organization sentiment analytics",Analytics,Less than $1M,"$150,000 ",Seed,1,,�,"152,257",http://www.upyourgame.ai/,,Dubai,United Arab Emirates
Angel Round - Soul Artists,https://www.crunchbase.com/organization/soul-artists,Soul Artists,Angel,"$30,000 ",2-May-17,Seed,�,Yes,The worlds artist platform - Talent booking on demand,Art,�,"$580,000 ",�,3,,�,"154,417",https://www.soulartists.net/,,Dubai,United Arab Emirates
Pre Seed Round - Meet The Locals,https://www.crunchbase.com/organization/meet-the-locals,Meet The Locals,Pre-Seed,"$9,530 ",1-Sep-17,Seed,�,Yes,Opportunities for expats and visitors in UAE to enjoy famed Emirati hospitality and immerse themselves in their cultural experiences.,Tourism,�,"$9,530 ",Seed,1,,�,"155,247",https://www.meetthelocalsuae.com/,,Dubai,United Arab Emirates
Seed Round - Boksha,https://www.crunchbase.com/organization/boksha,Boksha,Seed,"$1,000,000 ",7-Jun-21,Seed,�,Yes,Boksha is an online fashion marketplace dedicated to showcase authentic designs made by emerging independent fashion designers.,E-Commerce,$1M to $10M,"$1,000,000 ",Seed,3,Sandooq Al Watan,1,"155,936",https://www.boksha.com/,,Dubai,United Arab Emirates
Funding Round - Theeye,https://www.crunchbase.com/organization/theeye,Theeye,Funding Round,"$50,000 ",23-Sep-20,�,�,Yes,Watch real estate live directly from developers in just 30 seconds,Broadcasting,�,"$150,000 ",Seed,2,,�,"156,541",https://www.theeye.live/,,Dubai,United Arab Emirates
Seed Round - SalaamUAE.com,https://www.crunchbase.com/organization/salaamuae,SalaamUAE.com,Seed,"$50,000 ",2-Oct-18,Seed,�,Yes,SalaamUAE.com offers electronic products.,Consumer Electronics,�,"$400,000 ",Seed,3,,�,"382,826",https://www.salaamuae.com/,,Deira,United Arab Emirates
Seed Round - help4u.today,https://www.crunchbase.com/organization/help4u-today,help4u.today,Seed,"$200,000 ",1-Dec-15,Seed,�,Yes,help4u.today is the online marketplace for home services which connects service providers to customers.,Marketplace,�,"$200,000 ",Seed,2,Alessandro Rinaldi,1,"400,839",http://help4u.today/,,Dubai,United Arab Emirates
Angel Round - Ibtikaroom,https://www.crunchbase.com/organization/ibtikaroom,Ibtikaroom,Angel,"$250,000 ",15-Jun-19,Seed,�,Yes,Platform aggregator of instant 3D Digital Twins and Big Data analysis with an interface for all participants in Real Estate market,Big Data,�,"$463,000 ",Seed,3,,�,"157,574",https://angel.co/company/ibtikaroom,,Dubai,United Arab Emirates
Grant - Hubpay,https://www.crunchbase.com/organization/hubpay,Hubpay,Grant,"$20,000 ",16-Aug-20,�,�,No,Hubpay is an independently regulated provider of cross-border money services designed to increase financial inclusion in emerging markets.,Financial Services,$10M to $50M,"$22,020,000 ",Early Stage Venture,5,MetLife Foundation,1,"158,453",https://www.hubpay.ae/,,Abu Dhabi,United Arab Emirates
Seed Round - Malena App,https://www.crunchbase.com/organization/malena-app,Malena App,Seed,"$18,615 ",1-Nov-18,Seed,�,Yes,E-Commerce Booking Platform,E-Commerce,�,"$23,615 ",Seed,2,,�,"159,926",https://malenaapp.com/,,Dubai,United Arab Emirates
Pre Seed Round - Detoxify Company,https://www.crunchbase.com/organization/detoxifier,Detoxify Company,Pre-Seed,"$30,000 ",9-Feb-15,Seed,"$1,000,000 ",Yes,Increase the life of your food,,�,"$40,000 ",M&A,2,A R Sh,1,"160,276",https://detoxify.company/,,Dubai,United Arab Emirates
Non Equity Assistance - 3DInova,https://www.crunchbase.com/organization/3dinova,3DInova,Non-equity Assistance,�,19-May-20,�,�,No,"Online 3D printing company aiming to bridge the gap between books and technology, by incorporating CAD and 3D printing into the classroom",3D Printing,�,�,Seed,2,in5,1,"160,555",https://3dinova.com/,,Dubai,United Arab Emirates
Equity Crowdfunding - TSAT Group,https://www.crunchbase.com/organization/tsat-group,TSAT Group,Equity Crowdfunding,"$50,000 ",30-Oct-13,�,�,Yes,TSAT Group is a UAE based retailer.,E-Commerce,�,"$50,000 ",�,1,,�,"401,866",http://www.tsatgroup.com/,,Dubai,United Arab Emirates
Seed Round - Matjar,https://www.crunchbase.com/organization/matjar,Matjar,Seed,"$100,000 ",1-Jan-14,Seed,�,Yes,Matjar is a unique e-commerce site that is aiming to provide the best prices in market along with the best experience.,E-Commerce,�,"$100,000 ",Seed,1,,�,"401,942",http://matjar.ae/,,Dubai,United Arab Emirates
Seed Round - Tapklik,https://www.crunchbase.com/organization/tapklik,Tapklik,Seed,�,14-Nov-17,Seed,�,Yes,Tapklik is a full-stack programmatic media-buying and real-time bidding platform.,Advertising,�,�,Seed,1,Speed Accelerator,1,"402,060",https://www.tapklik.com/,,Dubai,United Arab Emirates
Seed Round - Umbbrella,https://www.crunchbase.com/organization/umbbrella,Umbbrella,Seed,�,14-Nov-19,Seed,"$2,500,000 ",Yes,Revolutionising ecommerce for the current and next century.,E-Commerce,�,"$15,000 ",Seed,2,,�,"402,074",https://www.umbbrella.com/,,Dubai,United Arab Emirates
Angel Round - Channels Inc.,https://www.crunchbase.com/organization/chanels,Channels Inc.,Angel,"$30,000 ",1-Feb-21,Seed,�,Yes,Channels is a SaaS company focused on providing a communications platform for the physical worker rather than the remote.,Event Management,�,"$571,780 ",Seed,4,,�,"402,430",https://www.seechannels.tech/,,Dubai,United Arab Emirates
Angel Round - BasharaCare,https://www.crunchbase.com/organization/basharacare,BasharaCare,Angel,"$400,000 ",1-Dec-13,Seed,�,Yes,BasharaCare is an online retailer of skincare products targeted to consumers.,Beauty,�,"$1,500,000 ",Early Stage Venture,3,,�,"410,705",https://www.basharacare.com/,,Dubai,United Arab Emirates
Grant - Channels Inc.,https://www.crunchbase.com/organization/chanels,Channels Inc.,Grant,"AED30,000",23-Jul-20,�,�,No,Channels is a SaaS company focused on providing a communications platform for the physical worker rather than the remote.,Event Management,�,"$571,780 ",Seed,4,Abu Dhabi Exploratory,1,"411,063",https://www.seechannels.tech/,,Dubai,United Arab Emirates
Seed Round - Yellow,https://www.crunchbase.com/organization/yellow,Yellow,Seed,�,16-Jul-15,Seed,�,Yes,Aims to solve the Middle East�s payment challenges using Bitcoin.,Bitcoin,�,�,Seed,1,Digital Currency Group,1,"411,595",http://yellowpay.co/,,Dubai,United Arab Emirates
Seed Round - Safe Driving Network,https://www.crunchbase.com/organization/safe-driving-network,Safe Driving Network,Seed,�,14-Aug-18,Seed,�,Yes,"Safe Driving Network detects the driver's behavior in real-time to prevent collisions, evaluate and coaching the drivers.",Artificial Intelligence,�,�,Seed,1,Startupbootcamp,1,"411,910",http://safedrivingnetwork.com/,,Dubai,United Arab Emirates
Pre Seed Round - Whizzd,https://www.crunchbase.com/organization/whizzd,Whizzd,Pre-Seed,"$3,000 ",26-Feb-16,Seed,"$50,000 ",Yes,Products and services marketplace,,�,"$3,000 ",Seed,1,Nihal Mohammad Shaikh,1,"248,127",https://whizzd.com/,,Dubai,United Arab Emirates
Seed Round - Mix & Muesli,https://www.crunchbase.com/organization/mix-muesli,Mix & Muesli,Seed,�,1-Oct-18,Seed,�,Yes,Mix & Muesli is a custom-made muesli service.,E-Commerce,�,�,Seed,1,Savour Ventures,1,"412,047",https://www.mixandmuesli.com/,,Dubai,United Arab Emirates
Seed Round - Baza Bazaar,https://www.crunchbase.com/organization/baza-bazaar,Baza Bazaar,Seed,"$100,000 ",1-Oct-18,Seed,�,Yes,Baza Bazaar - The UAE�s #1 luxury marketplace for authentic rare and exclusive streetwear and sneakers. Yallah! Get Baza,E-Commerce,�,"$108,000 ",Seed,2,YZ Buyer,1,"413,056",http://www.bazabazaar.com/,,Dubai,United Arab Emirates
Grant - Finyal Media,https://www.crunchbase.com/organization/finyal-media,Finyal Media,Grant,"$13,000 ",1-Jun-19,�,�,No,A podcast network Creating podcasts for young people across the Arab world.,Media and Entertainment,�,"$465,226 ",Seed,3,,�,"413,187",https://finyalmedia.com/,,Dubai,United Arab Emirates
Series A - Brand Ripplr,https://www.crunchbase.com/organization/brand-ripplr,Brand Ripplr,Series A,"$1,000,000 ",8-Nov-20,Early Stage Venture,�,Yes,Brand Ripplr is an online marketplace which simplifies the entire influencer marketing process for businesses.,Advertising,$1M to $10M,"$1,000,000 ",Early Stage Venture,1,Dubai Angel Investors,1,"396,578",https://www.brandripplr.com/,,Dubai,United Arab Emirates
Seed Round - ALGO,https://www.crunchbase.com/organization/algo-b3e1,ALGO,Seed,�,10-May-18,Seed,�,Yes,Building IOT-based smart shopping trolley enabling the grocery shoppers to have smarter shopping experience and faster checkout,E-Commerce,Less than $1M,�,Seed,1,Brinc,1,"396,658",https://www.nabdaa.com/,,Dubai,United Arab Emirates
Angel Round - Wally,https://www.crunchbase.com/organization/wally,Wally,Angel,"$1,150,000 ",15-Jun-15,Seed,�,Yes,The easiest and fastest way to manage your financial life in one place. Get clarity. Get smarter. Get in-control.,Finance,�,"$4,800,000 ",Seed,2,Forum Ventures,1,"398,888",http://www.wally.me/,,Dubai,United Arab Emirates
Angel Round - Deal In City,https://www.crunchbase.com/organization/deal-in-city,Deal In City,Angel,"$45,000 ",10-Oct-12,Seed,�,Yes,"Deal In City is an e-commerce site based in Dubai offering daily deals on fashion, beauty, activities, food and dining, auto, and more.",Advertising,$1M to $10M,"$75,000 ",Seed,2,Shadab Rashid,1,"399,060",http://www.dealincity.com/,,Dubai,United Arab Emirates
Seed Round - SalaamUAE.com,https://www.crunchbase.com/organization/salaamuae,SalaamUAE.com,Seed,"$300,000 ",15-Apr-15,Seed,�,Yes,SalaamUAE.com offers electronic products.,Consumer Electronics,�,"$400,000 ",Seed,3,,�,"250,378",https://www.salaamuae.com/,,Deira,United Arab Emirates
Pre Seed Round - HoloFair - Outreal XR,https://www.crunchbase.com/organization/outreal-xr,HoloFair - Outreal XR,Pre-Seed,"$100,000 ",1-Jan-20,Seed,�,Yes,"Our 3D virtual events platform allows event organizers to host outstanding virtual exhibitions, conferences, and more!",Augmented Reality,�,"$100,000 ",Seed,1,,�,"402,607",https://outrealxr.com/,,Dubai,United Arab Emirates
Grant - Malena App,https://www.crunchbase.com/organization/malena-app,Malena App,Grant,"$5,000 ",21-Nov-18,�,�,No,E-Commerce Booking Platform,E-Commerce,�,"$23,615 ",Seed,2,,�,"402,854",https://malenaapp.com/,,Dubai,United Arab Emirates
Non Equity Assistance - Hotel Data Cloud,https://www.crunchbase.com/organization/hotel-data-cloud,Hotel Data Cloud,Non-equity Assistance,�,27-Jan-19,�,�,No,HDC is a b2b content distribution platform that lets hotels control how they are portrayed on booking channels,Database,�,"$563,612 ",Seed,4,Sheraa Sharjah,1,"403,418",https://hoteldata.cloud/,,Dubai,United Arab Emirates
Angel Round - Caravan,https://www.crunchbase.com/organization/caravan-19f0,Caravan,Angel,�,29-Aug-19,Seed,�,Yes,"Carava is  a convenient, comfortable, and cost-efficient work commute.",,�,"$10,000 ",Seed,2,Falcon Network,1,"456,268",https://www.my-caravan.co/,,Sharjah,United Arab Emirates
Non Equity Assistance - Swappaholics,https://www.crunchbase.com/organization/swappaholics,Swappaholics,Non-equity Assistance,�,7-Jun-16,�,�,No,"Swappaholics offers a swapping site that enables its users to list, share, and swap various items in Africa.",E-Commerce,Less than $1M,"$30,000 ",Seed,2,SpeedUPAfrica,1,"417,428",http://www.swappaholics.com/,,Dubai,United Arab Emirates
Pre Seed Round - Yalla Doc,https://www.crunchbase.com/organization/yalla-doc,Yalla Doc,Pre-Seed,"$1,089 ",1-Feb-18,Seed,�,Yes,YallaDoc specialty focused patient-doctor platform allows a hassle-free access to the right doctor whenever needed.,Health Care,�,"$1,089 ",Seed,1,startAD,1,"418,495",http://www.yalladoc.com/,,Sharjah,United Arab Emirates
Seed Round - Tagvisor,https://www.crunchbase.com/organization/tagvisor,Tagvisor,Seed,�,20-Oct-15,Seed,"$2,880,000 ",Yes,"Tagvisor develops tools that are able to collect visitor reviews on restaurants, bars, hotels, and sights through social networks.",Hotel,�,�,Seed,1,,�,"456,725",https://en.tagvisor.com/,,Dubai,United Arab Emirates
Series A - Profitech,https://www.crunchbase.com/organization/profitech,Profitech,Series A,"$1,000,000 ",8-Mar-15,Early Stage Venture,�,Yes,"We are a company specialised in retail technology, our aim is to increase the stores sales using technology.",Enterprise Software,Less than $1M,"$1,000,000 ",Early Stage Venture,1,Samir Ghais,1,"457,322",http://www.profitechsarl.com/,,Dubai,United Arab Emirates
Venture Round - Globe Soccer,https://www.crunchbase.com/organization/globe-soccer,Globe Soccer,Venture - Series Unknown,�,27-Dec-17,�,�,Yes,Globe Soccer is an company that organizes and owns the rights to the annual globe soccer awards.,Association,�,�,�,1,Silva International Investments,1,"457,623",https://www.globesoccer.com/,,Dubai,United Arab Emirates
Series A - TOBUZ,https://www.crunchbase.com/organization/tobuz,TOBUZ,Series A,�,3-Sep-18,Early Stage Venture,�,Yes,A online marketplace that provides business owners a platform to �list and sell� their businesses enabling a wide reach to buyers,Advertising,Less than $1M,�,Early Stage Venture,1,,�,"422,216",https://www.tobuz.com/,,Dubai,United Arab Emirates
Seed Round - Obzarve,https://www.crunchbase.com/organization/obzarve,Obzarve,Seed,�,1-Jul-21,Seed,�,Yes,"Obzarve is Dubai-based creative agency helping companies of all sizes in the UAE and abroad, create and expand their online presence.",Advertising,�,�,Seed,1,,�,"255,165",https://www.obzarve.com/,,Dubai,United Arab Emirates
Angel Round - Exploreocity,https://www.crunchbase.com/organization/exploreocity,Exploreocity,Angel,"$100,000 ",1-Jan-18,Seed,�,Yes,"Exploreocity is a travel inspiration and trip planner powered by AI that inspires travelers, helps them plan better and assist them.",,�,"$100,000 ",Seed,2,,�,"460,975",https://www.exploreocity.com/,,Dubai,United Arab Emirates
Convertible Note - mrusta.com,https://www.crunchbase.com/organization/mrusta-com,mrusta.com,Convertible Note,�,14-May-17,�,�,No,mrusta is an online marketplace that connects customers to trusted service providers in the Middle East.,Internet,�,"$1,099,731 ",Seed,3,Omar Darwazah,1,"462,423",http://mrusta.com/,,Dubai,United Arab Emirates
Grant - Carvice,https://www.crunchbase.com/organization/carvice,Carvice,Grant,"$3,819 ",1-Feb-18,�,�,No,"Carvice platform connect car service centers and car owners with competitive prices, and guaranteed quality.",Automotive,�,"$3,819 ",�,1,,�,"464,316",,,Sharjah,United Arab Emirates
Seed Round - WhizzTips,https://www.crunchbase.com/organization/whizztips-2,WhizzTips,Seed,"$500,000 ",1-Aug-17,Seed,"$3,000,000 ",Yes,"WhizzTips connects skills to needs locally, Worldwide",Communities,�,"$500,000 ",Seed,1,,�,"464,375",http://www.whizztips.ae/,,Dubai,United Arab Emirates
